userName,score,at,content
Pengguna Google,5,2025-07-31 08:34:49,bagus
Pengguna Google,5,2025-07-30 15:12:20,aplikasi terbaik
Pengguna Google,5,2025-07-25 12:57:30,"aplikasinya keren, mantap, mempermudah orang buat hitung kalori harian terkhusus buat yg lagi cutting"
Pengguna Google,5,2025-07-25 07:51:00,mmbntu skali untk mnghitng kalori harian
Pengguna Google,5,2025-07-24 20:32:01,membantu jaga kalori
Pengguna Google,5,2025-07-21 10:21:07,"aplikasi bagus membantu banget,saran saya menu makanannya di tambah lagi terutama di Makanan olahan ayam 👍👍"
Pengguna Google,5,2025-07-21 09:11:10,aplikasi yg bagus...
Pengguna Google,5,2025-07-20 17:49:21,bnr bnr ngebantu gua buat kontrol makan terimakasih banyak ya
Pengguna Google,4,2025-07-18 06:55:12,bagus menunjang perjuangan ku
Pengguna Google,5,2025-07-16 19:26:22,"kalau pakat fatsecret jd lebih disiplin,trims"
Pengguna Google,5,2025-07-12 20:31:37,okey
Pengguna Google,1,2025-07-12 19:37:02,"kenapa si astaga padahal jaringan bagus tapi buat buka aplikasi, buat input makanan gabisa, lucu banget"
Pengguna Google,5,2025-07-12 10:29:27,sangat membantu
Pengguna Google,5,2025-07-11 16:08:05,mantap
Pengguna Google,5,2025-07-09 15:29:43,"terbaik sih, aplikasinya keren, gampang dipahami. udh aku pakai dari awal diet di 2018. sampe skrg msh ku pakai. dari BB awal hampir 80 skrg di 62, tapi msh proses diet lgi hehe . setelah 3tahun berenti karena hamil dan menyusui."
Pengguna Google,5,2025-07-09 06:05:50,dietku jadi berhasil
Pengguna Google,5,2025-07-08 17:59:42,sangat bermanfaat
Pengguna Google,4,2025-07-08 17:30:57,ok
Pengguna Google,5,2025-07-08 13:00:20,sangat membantu
Pengguna Google,5,2025-07-04 19:25:29,Apk terbaik
Pengguna Google,5,2025-07-01 09:53:21,🤍
Pengguna Google,5,2025-07-01 08:30:16,bagus
Pengguna Google,5,2025-07-01 06:40:19,"Sangat amat memudahkan untuk menghitung kalori, bener bener mempermudah untuk orang yang mau diet"
Pengguna Google,5,2025-07-01 03:38:19,app yg sangat bagus dan membantu banyak orang untuk menghitung kalori harian.
Pengguna Google,5,2025-06-30 09:04:20,Hebat
Pengguna Google,4,2025-06-29 07:14:21,cocok
Pengguna Google,2,2025-06-28 18:37:43,ini pasti gak gratis
Pengguna Google,5,2025-06-25 11:49:04,sangat membantu
Pengguna Google,5,2025-06-22 20:00:57,"Omagaaa, cinta banget sama app satu ini! 😍🫶🏻"
Pengguna Google,5,2025-06-20 17:41:51,sangat membantuuu
Pengguna Google,5,2025-06-13 10:49:42,gacor banget
Pengguna Google,5,2025-06-12 07:54:54,Sangat membantu 😍
Pengguna Google,5,2025-06-11 14:03:59,aplikasi yang sangat membantu unk program defisit kalori
Pengguna Google,1,2025-06-09 19:10:21,apk gjls makanan aja ga lengkap mending cari di google aja
Pengguna Google,5,2025-06-05 07:36:07,"Sangat membantu dalam mengkontrol asupan kalori yang masuk ke dalam tubuh, juga menjaga pola makan tetap seimbang lewat laporan makro nutrisinya."
Pengguna Google,5,2025-06-04 11:17:25,"sangat bagus,puas bngt"
Pengguna Google,5,2025-06-02 00:30:03,"sangat membantu untuk pencatatan kalori, buat motivasi juga kalo misal kalori harian belum terpenuhi. sangat membantu saya untuk atur pola makan. terima kasihh"
Pengguna Google,5,2025-05-31 14:43:17,"saya menggunakan aplikasi ini untuk mengontrol kalori yang saya konsumsi setiap harinya dan saya sangat merasa banyak manfaatnya,selain berat badan saya turun saya juga merasa badan lebih sehat dan ringan karena tahu berapa banyak gula,garam dan lemak yang masuk ke dalam tubuh dan membuat kita lebih pintar dalam memilih makanan yang sehat dan sedikit kalori"
Pengguna Google,5,2025-05-30 19:57:29,Bagus
Pengguna Google,5,2025-05-30 11:24:02,mantap
Pengguna Google,5,2025-05-28 22:12:50,aplikasi andalan kalo udh pengen serius turun bb
Pengguna Google,5,2025-05-28 06:52:26,bagus membantu sekali
Pengguna Google,5,2025-05-26 12:41:43,aplikasi sangat bagus untuk mengontrol makanan yang dikonsumsi saat diet.
Pengguna Google,5,2025-05-26 09:19:07,Apk ini bagus banget. Dengan bantuan tambahan dari web aku cari AKGku&dengan bantuan AI aku bisa tahu berapa gram makananku. Untuk defisit kalori kurangin kalori harian kalian. Aku senang apk ini lengkap dan gratis. Btw aku turun 5 kg seminggu pakai apk ini dan aku jg olahraga 3x dalam seminggu.
Pengguna Google,5,2025-05-26 08:33:18,berguna bgt buat progress
Pengguna Google,5,2025-05-26 05:46:42,best !!!
Pengguna Google,5,2025-05-24 17:03:21,sangat membantu defkal
Pengguna Google,5,2025-05-22 08:46:21,sangat membantu tracking kalori setiap hari
Pengguna Google,5,2025-05-21 09:57:11,pemandu yg ok untuk diet
Pengguna Google,4,2025-05-21 06:36:04,cukup membantu program diet saya
Pengguna Google,5,2025-05-17 09:00:38,saya mau yang gratis.
Pengguna Google,5,2025-05-16 12:48:03,aplikaai yg sangat membantu
Pengguna Google,5,2025-05-14 09:18:33,"mudah,gampang difahami"
Pengguna Google,4,2025-05-13 16:00:55,"Aplikasi yang cukup bagus utk track Makro, namun kalo dari pengalaman ku makanan yang aku konsumsi kadang tidak ada data nya disini dan kadang data nya terkesan tidak akurat."
Pengguna Google,5,2025-05-13 09:18:21,"sangat membantu pola makan kita,biar bisa defisit kalori dengan adanya aplikasi fasecret ini👍👍"
Pengguna Google,5,2025-05-12 22:19:40,kalo bisa untuk nilai gizi bisa ditambah kalsium agar mempermudah jumlah kalsium yg kita konsumsi
Pengguna Google,5,2025-05-10 05:37:18,bagus sekali dan sangat membantu
Pengguna Google,5,2025-05-09 05:28:44,sangat membantu menghitung kalori dan membuat diet jd lebih semangat karna banyak dukungan dan info dr pengLaman pribadi org2 yg memakai apl ini membuat diet lebih senang karna bisa melihat info perubahan secara detail
Pengguna Google,5,2025-05-07 06:18:44,Sangat bermanfaat bagi yang mengatur pola hidup lebih sehat
Pengguna Google,5,2025-05-06 15:58:35,membantu sekali dalam menghitung kalori yg di makan
Pengguna Google,4,2025-05-06 08:43:01,"baguss sekali, tingkatan terus"
Pengguna Google,5,2025-05-05 06:18:00,sangat membantu dan sangat mudah menggunakan aplikasi ini🥰 Terima kasih banyak 😇🥰
Pengguna Google,4,2025-05-04 17:59:01,"halo saya ingin nanya satu hal, kenapa di aplikasi ini tidak ada penghitungan kalsium? yang ada malah kalium, apakah dalam aplikasi itu sama saja? karena setelah saya cari di google ternyata kalsium dan kalium berbeda, kalo memang berbeda, tolong tambahkan penghitungan kalsium juga."
Pengguna Google,5,2025-05-03 11:41:40,terimakasih banyak telah banyak membantu
Pengguna Google,5,2025-05-03 07:19:17,BAGUS BANGET ❤️❤️
Pengguna Google,5,2025-05-02 12:18:34,Bener bener ngaruh sih buat aku
Pengguna Google,5,2025-05-01 20:40:58,"mantap, bisa mantau hasil diet dan tracking kalori"
Pengguna Google,5,2025-04-29 17:08:30,"Bagus, membantu melacak/mengetahui intake kalori"
Pengguna Google,5,2025-04-25 15:16:14,sangat membantu dalam proses defisit kalori.
Pengguna Google,5,2025-04-22 20:09:40,mantap buat program diet
Pengguna Google,5,2025-04-20 14:10:59,bestt wajib download kalo mau cepat turun
Pengguna Google,5,2025-04-18 19:36:36,aplikasi best banget buat diet
Pengguna Google,5,2025-04-18 05:13:32,"sangat mudah diikuti, recomended👍 semoga fitur2 gratisnya ditambah lebih banyak😍👍"
Pengguna Google,5,2025-04-13 13:55:34,sangat membatu diet aku
Pengguna Google,5,2025-04-11 15:49:15,bagus
Pengguna Google,4,2025-04-10 13:04:19,Bantu buat diet
Pengguna Google,3,2025-04-09 23:28:46,"please make the widget size 4×2 for easy viewing. don't do 4×1, it's very annoying"
Pengguna Google,5,2025-04-09 20:22:55,sangat bagus
Pengguna Google,5,2025-04-08 10:09:17,ke'ren
Pengguna Google,3,2025-04-06 13:34:44,"kenapa sih harus pakai umur, kan segala usia berhak untuk bisa menjadi sehat😒"
Pengguna Google,5,2025-03-31 21:32:03,recomend banget pakai ini sih kalian harus coba
Pengguna Google,4,2025-03-29 08:20:56,"membantu bagi orang-orang yang sedang dalam program defisit kalori, hanya ada beberapa saran yaitu pilihan makanan yang harus lebih ditingkatkan dan tolong perbaiki proses loading yang terlalu lama saat mencari pilihan makanan, karena hal ini cukup memakan waktu, walau hal ini tidak sering terjadi diharapkan dapat menjadi saran yg baik"
Pengguna Google,5,2025-03-24 12:23:47,berguna banget
Pengguna Google,5,2025-03-23 19:03:48,dengan aplikasi ini sangat memudahkan dalam menjalani defcal
Pengguna Google,5,2025-03-20 18:03:23,"memudahkan sekali untuk program diet atau menambah berat badan, walau ga 100% akurat tetapi setidaknya mendapatkan gambaran besarnya"
Pengguna Google,5,2025-03-18 22:09:26,Bagus
Pengguna Google,5,2025-03-17 18:43:34,bagus dan berguna
Pengguna Google,5,2025-03-17 17:22:11,"aplikasiny membantu, tapi terkadang ada makanan2 daerah tertentu yg blm masuk, hihi"
Pengguna Google,5,2025-03-17 11:38:41,"Sangat terbantu sama apk ini, bisa makan apa aja asal tau batas kalorinya😀😀"
Pengguna Google,5,2025-03-17 08:00:14,Benar benar sangat membantu
Pengguna Google,5,2025-03-15 17:37:40,"sangat efektif menurunkan bb, sehingga kita tau cara defisit kalori"
Pengguna Google,5,2025-03-14 07:41:19,Bagus
Pengguna Google,5,2025-03-13 02:14:08,Terima kasih
Pengguna Google,5,2025-03-12 18:17:06,Saya dengan aplikasi ini mampu menurunkan berat badan dri awalnya 120 sampe ke 75 makasih fat secret
Pengguna Google,5,2025-03-11 13:22:03,kerenn
Pengguna Google,1,2025-03-10 09:42:34,GK bisa dibuka
Pengguna Google,5,2025-03-08 19:14:56,bagus
Pengguna Google,5,2025-03-07 05:19:03,Sangat membantu diet journey saya. So thankyou
Pengguna Google,4,2025-03-06 22:14:31,"Lumayan membantu, thanks"
Pengguna Google,5,2025-03-03 17:35:15,Bagus dan memudahkan rencana diet saya
Pengguna Google,5,2025-03-03 09:53:48,Sangat membantu 🥰👍🏻
Pengguna Google,5,2025-02-28 16:33:10,Aplikasii yang sangat baguss
Pengguna Google,5,2025-02-28 16:06:25,Baguss sekali untuk menghitung kalori
Pengguna Google,4,2025-02-28 07:09:29,"Udah bagus, gara² fathscreed aku jadi turun 4kg ,tapi tolong menu sama makanan,minuman,atau jajanan nya di tambahin lagi ya kadang suka binggung soalnya gaada di menu nya"
Pengguna Google,5,2025-02-27 06:41:07,"Bintang 5! nge bantu banget dan emang beneran worth it, target turun 5 kilo dalam 1 bulan, minggu ke 2 udah turun 2,5 kilo"
Pengguna Google,4,2025-02-26 18:54:32,Nice
Pengguna Google,5,2025-02-26 09:06:37,Membuat semangat diet saya karena dengan adanya aplikasi ini saya bisa mengontrol nafsu makan saya
Pengguna Google,1,2025-02-24 18:26:46,"Gak tau kenapa udah 3 hari, mau nyatet kalori harian pas maghrib ke atas langsung lemot, sebelemnya gak pernah kaya gini. Ini udah uninstal terus reinstal tetep sama, malah gak bisa login saking loading mulu."
Pengguna Google,1,2025-02-24 14:56:12,"Buruk, lag trus, masukin kalori aja susah, loading screen 1 jam"
Pengguna Google,1,2025-02-23 20:48:01,"Sebelumnya pernah pake, ngebantu banget turun hampir 10kilo, tapi secarang appnya entah kenapa ngak bisa kebuka stak di awal ngak mau masuk ke app nya."
Pengguna Google,5,2025-02-21 18:44:51,Sangat membantu untuk menghitung kalori harian. Terima kasih
Pengguna Google,5,2025-02-21 13:12:04,"Ini apk yang sangat bagus sekali. Saya bisa menghitung jumlah kalori setiap hari. Mohon dikembangkan lagi menu makanan/minuman yang bervariasi lagi, terimakasih fatsecret"
Pengguna Google,5,2025-02-19 14:16:18,Thankyou
Pengguna Google,5,2025-02-19 08:49:41,Aplikasi yang sangat bagus. Membantu menghitung kalori harian sangat membantu untuk diet. Recomen sekali
Pengguna Google,5,2025-02-17 23:34:57,Sangt membantu
Pengguna Google,5,2025-02-17 17:55:07,"sangat membantu, saya jadi tau kandungan kandungan kalori, protein, karbohidrat makanan yang saya makan"
Pengguna Google,5,2025-02-16 08:02:47,membantu sekali untuk mengendalikan nafsu makan
Pengguna Google,5,2025-02-15 10:49:46,Udh lama pake Apk ini dan udh pernah nyoba buat ikut Body kontes dan sangat amat membantu buat fitur² freenya...semoga kedepannya lebih banyak variasi makanan dan minuman yg dapet di lacak di Apk ini dan semoga lebih akurat juga untuk informasi gizinya 🙏🏻👍
Pengguna Google,5,2025-02-13 13:02:06,ngebantu banget itung kalori harian
Pengguna Google,5,2025-02-12 17:48:42,"bagus aplikasi ini, meskipun saya kurang disiplin tapi pake aplikasi ini udah turun 4 kg"
Pengguna Google,5,2025-02-11 13:12:34,Nice apps
Pengguna Google,5,2025-02-11 09:56:44,"Bagusss, memudahkan untuk hitung kalori, detail... recommended 👍 thank you"
Pengguna Google,5,2025-02-11 00:09:33,"Ngatur porsi makan pke aplikasi ini, defisit kalori dan olahraga. Dlm waktu 3 bulan turun 10kg, sangat membantu sekali. Terima kasih"
Pengguna Google,5,2025-02-10 19:08:19,bener bener ngebantu bangett untuk penghitungan kalori
Pengguna Google,4,2025-02-10 10:49:28,nice apps
Pengguna Google,5,2025-02-10 10:02:30,Sangat membantu
Pengguna Google,5,2025-02-10 05:58:55,Mantapp
Pengguna Google,5,2025-02-09 22:18:36,SEMOGA YANG BIKIN APLIKASI INI DAN TEAMNYA DAPAT PAHALA SETIAP SAYA INPUT MAKANAN! BERGUNA BANGET!!
Pengguna Google,5,2025-02-09 10:49:45,Apk GRATIS yang mmbantu bngt.. tanpa iklan pula
Pengguna Google,5,2025-02-09 10:28:51,sangat membantu
Pengguna Google,5,2025-02-09 09:21:13,sangat membantu
Pengguna Google,5,2025-02-08 21:46:12,"Apk yg sngt bagus, bisa mmbngu orng yg lgi diet"
Pengguna Google,5,2025-02-08 19:09:14,Membantu menghitung asupan makanan harian pada masa diet
Pengguna Google,5,2025-02-08 17:02:35,"Mantappp untuk menghitung kalori buat saya yang sedang diet, semoga tercapai body goals"
Pengguna Google,5,2025-02-08 10:27:13,"Sudah hampir 4 tahun pakai aplikasi ini, sangat membantu dan menyenangkan"
Pengguna Google,5,2025-02-08 07:51:27,Ngebantu banget buat diet harian mencatat kalori makanan per hari❤❤
Pengguna Google,4,2025-02-08 05:04:57,Sangat membantu dalam penghitungan kalori yang dimakan
Pengguna Google,5,2025-02-07 14:23:57,"Dietku bner2 trbntu berkat aplikasi ini,makasi fatsecret😍"
Pengguna Google,5,2025-02-06 18:37:24,Membantu banget aplikasi ini buat diet
Pengguna Google,1,2025-02-06 08:16:25,Menu makanan tidak banyak di ketahui
Pengguna Google,5,2025-02-05 12:01:15,love fatsecret🥰🥰🥰
Pengguna Google,5,2025-02-04 19:55:27,klo ada bintang 1000 aku kasih bintang 1000 karena ini kita tinggal ngetik tanpa ngehitung ini kita cuma perlu nimbang aja.
Pengguna Google,5,2025-02-03 13:06:16,Bagus banget jadi lebih terukur
Pengguna Google,5,2025-02-03 09:58:00,Ngebantu program diet aku banget
Pengguna Google,4,2025-02-03 07:21:24,"Aplikasi ini bagus, sangat membantu kita dalam memulai pola hidup sehat ada pemantauan kalori dan pencatatan makanan, tersedia catatan untuk melihat grafik timbangan,, tetapi ada beberapa makanan yang kadang belum terdata di aplikasi sehingga bisa dicatat manual resepnya🥰🥰🥰 bagi saya sejauh ini sudah memuaskan"
Pengguna Google,5,2025-02-02 20:00:14,Mantap
Pengguna Google,5,2025-02-02 06:08:59,aplikasi bagus
Pengguna Google,5,2025-02-01 16:50:58,Aplikasinya bagus saya berhasil turun 20 kg dalam 6 ⭐⭐⭐⭐⭐
Pengguna Google,5,2025-02-01 16:42:30,sangat akurat entah buat bulk atau cute defisit kalori mantep
Pengguna Google,5,2025-02-01 09:58:12,"aplikasi yang sangat bermanfaat, buat yang masih bingung untuk menghitung atau mengetahui kandungan nutrisi dari makanan/minuman, fat secret udah paket lengkap, mantap pokoknya"
Pengguna Google,5,2025-01-31 08:01:38,Sangat membantu dalam Pola makan dan Penurunan berat badan
Pengguna Google,1,2025-01-30 23:51:50,beda di iphone dan android tebang pilih g seru
Pengguna Google,5,2025-01-29 07:26:17,"gua jadi gak bersalah abis makan banyak,ternyata cuma lebih 200an kalori doang"
Pengguna Google,5,2025-01-28 11:35:53,Sangat membantu untuk diet sehat
Pengguna Google,5,2025-01-27 12:05:26,Bagus
Pengguna Google,5,2025-01-27 06:35:30,Mantap
Pengguna Google,5,2025-01-26 16:30:30,buriq
Pengguna Google,5,2025-01-26 13:35:44,Best
Pengguna Google,5,2025-01-26 11:17:58,Pakai aplikasi ini. Saya turun 18kg dalam 8 bulan. Diet sehat dan ga nyiksa
Pengguna Google,5,2025-01-25 10:06:24,Sangat membantu sekali
Pengguna Google,5,2025-01-25 07:52:53,Aplikasi ini ngebantu banget aku buat nurunin berat badan ❤️
Pengguna Google,5,2025-01-23 19:29:58,Bermanfaat
Pengguna Google,5,2025-01-23 12:59:04,Sangat membantu
Pengguna Google,5,2025-01-22 19:28:12,"sangat membantu mengatur jumlah kalori yang masuk, dak dibutuhkan"
Pengguna Google,5,2025-01-22 09:49:41,Sip..istimewa
Pengguna Google,5,2025-01-21 12:03:46,Membatu AQ diet mandiri
Pengguna Google,5,2025-01-21 09:26:47,sangat bermanfaat
Pengguna Google,5,2025-01-21 09:09:39,Aplikasi yang sangat membantu dalam menghitung kalori maupun gizi dari makanan yang kita makan
Pengguna Google,5,2025-01-20 18:10:59,lumayan bagus ni app bisa ngontrol kalori yg masuk
Pengguna Google,5,2025-01-19 20:21:19,Sangat membantu sekali 🤩 terimakasih
Pengguna Google,5,2025-01-18 16:46:41,Sangat bagus
Pengguna Google,5,2025-01-17 16:18:14,Memudahkan saya dalam mencatat makanan yg saya konsumsi setiap hari.
Pengguna Google,4,2025-01-16 21:51:50,Ini aplikasinya gratis jadi makasih ya sukses selalu
Pengguna Google,5,2025-01-16 13:05:06,Mempermudah banget saat difisit kalori
Pengguna Google,5,2025-01-16 09:59:03,"Berasa besti kitaa, bagusss"
Pengguna Google,5,2025-01-16 09:32:56,"Aplikasi nya sangat membantu proses diet ku, terimakasih fatsecret"
Pengguna Google,5,2025-01-16 06:29:54,Terkontorl asupan kalori nya baguuss
Pengguna Google,5,2025-01-15 10:24:19,Bagus aplikasi ini sangat membantu sekali untuk mengontrol porsi makan Dari BB 72 kg sekarang sudah 40 kg
Pengguna Google,5,2025-01-14 19:53:29,Sangat membantu untuk orang yang ingin menjalani pola hidup sehat
Pengguna Google,5,2025-01-13 15:47:33,Sangat membantu mengatur pola makan
Pengguna Google,5,2025-01-12 07:04:16,Membantu mengetahui kalori yang kita makan setiap harinya Cukup membantu untuk menerapkan defisit kalori
Pengguna Google,5,2025-01-11 05:41:56,Puas bisa membantu menghitung asupan kalori yang masuk ketubuh kita
Pengguna Google,5,2025-01-10 05:54:30,sangat membantu untuk diet.
Pengguna Google,5,2025-01-09 19:10:15,Sangat membantu bikin rencana harian
Pengguna Google,5,2025-01-09 18:13:33,Membantu diet
Pengguna Google,5,2025-01-07 08:12:56,Library makanannya lebih luas dan akurat
Pengguna Google,5,2025-01-06 08:44:56,Yang penting terus catat apa yang di makan. Utamakan makan makanan yang bernutrisi baik buat tubuh. Kalau udah kaya gini. Turunin berat badan jadi mudah
Pengguna Google,5,2025-01-05 21:02:58,Very useful for helping with a calorie deficit
Pengguna Google,5,2025-01-04 21:34:12,"5 bulan defisit kalori, terlihat jauh perbedaannya, keren banget emang ni aplikasi"
Pengguna Google,5,2025-01-04 12:51:26,"Terbantu dengan aplikasi ini,buat hitung kalori yg masuk setiap harinya Makasih yaa .. sukses terus dan semoga semakin berkembang"
Pengguna Google,5,2025-01-02 17:04:47,Sangat membantu saya saat defisit kalori
Pengguna Google,5,2025-01-02 14:10:45,Sangat membantu menghitung kalori dan penambahan massa otot
Pengguna Google,5,2025-01-02 09:36:42,"Membantu sekali unt ngetrack makanan apa saja yg sudah dimakan, jd mencegah kalap pas makan"
Pengguna Google,5,2024-12-31 10:29:36,Cocok untuk pemula yang mau belajar soal asupan kalori harian.
Pengguna Google,5,2024-12-30 14:53:38,Sangat membantu proses diet
Pengguna Google,5,2024-12-29 08:31:21,Aplikasi sangat bermanfaat. Sangat membantu proses penurunan berat badan
Pengguna Google,5,2024-12-28 16:29:27,"Aku merasa kaget melihat ini dan aku merasa terbiasa dengan buat akun baru untuk aplikasi penghitung kalori fatsectret yang sesuai dengan makan dan minum yang aku suka apalagi kalau apa saja yang aku makan minum 🤣. Terbantu dengan jumlah karbohidrat, protein, lemak, vitamin, mineral, kolesterol,serat, gula,sodium, kalium dan kalori yang dibutuhkan untuk sendiri"
Pengguna Google,5,2024-12-27 15:26:13,Mantap makro mikro nutrisi nya bisa dipantau hehe
Pengguna Google,5,2024-12-24 10:31:56,Sangat membantu program diet sayaa
Pengguna Google,5,2024-12-24 09:49:07,"KERENN BGTT PLISS! tp coba perbaiki lagi pake kamera gitu biar bisa tau kalori yang kita makan tuh berapa, jdi di deteksi otomatis"
Pengguna Google,5,2024-12-24 04:36:11,Sangat membantu
Pengguna Google,5,2024-12-23 08:25:07,Good
Pengguna Google,3,2024-12-23 07:08:38,Kenapa pasau foto makanam selalu balik lagi kameranyaa... Padahal saya butuh aplk ini... Apakah harus ganti hp
Pengguna Google,5,2024-12-23 05:49:29,Sangat sangat membantu
Pengguna Google,5,2024-12-22 10:33:45,Aplikasi yg sangat OK banget
Pengguna Google,5,2024-12-22 05:48:00,Selalu sukses sih kalo pake aplikasi ini rutin di catat makanan nya tapi kalo udah gak pake naik lagi bb nya 🤭 Akhirnya di simpan terus di hp dan timbangannya naik turun🤣🤣
Pengguna Google,5,2024-12-20 12:13:46,sangat membantu buat yang lagi diet
Pengguna Google,5,2024-12-20 12:05:00,aplikasi terkeren bisa mengevaluasi sekaligus membantu proses penurunan bb
Pengguna Google,5,2024-12-19 18:37:16,"Sangat sangat sangat bermanfaat, terima kasih banyak!!"
Pengguna Google,5,2024-12-19 07:15:14,Bagus
Pengguna Google,5,2024-12-18 13:09:51,Bisa menghitung kalori yg dimkn perhari jdi lbh mudah
Pengguna Google,5,2024-12-17 21:44:48,🤙
Pengguna Google,5,2024-12-16 18:40:44,Bagus jadi gampang ngitung kalorinya
Pengguna Google,5,2024-12-16 11:34:35,Baik
Pengguna Google,5,2024-12-16 11:33:13,Bagus
Pengguna Google,5,2024-12-16 11:02:55,Sangat memudahkan utk menghitung kalori harian. Pengunaan mudah
Pengguna Google,2,2024-12-15 16:02:07,Semenjak update otomatis semakin error uda 3 hari ini ga bisa di akses
Pengguna Google,5,2024-12-15 08:38:44,woi ini gimana. udah berhari2 ga bisa kebuka apknya 😭
Pengguna Google,4,2024-12-14 15:54:50,"Sebenarnya saya menggunakan aplikasi ini sudah dari jauh jauh hari dan udh ada mungkin 2 Tahun ya Tapi putus putus belum ada pondasi tentang program diet, dan skrg makin lama makin kesel buffering Mulu pas masukin daftar nama yaampun kesel bgt seolah olah KY hp sy yg gembel aplikasi GK BS di pake buat cepet cepet harus slowmo saya kan mau nempelin apa yang saya makan, udah ko makin bobrok aja ni aplikasi"
Pengguna Google,5,2024-12-13 09:40:32,Aplikasinya bagus
Pengguna Google,1,2024-12-12 12:42:40,"sekarang aplikasi selalu mental, mungkin updateny terlalu berat, dulu sempat pakai dan nyaman"
Pengguna Google,4,2024-12-11 18:27:42,"Kenapa sih skrng fatscreet ini sering eror, kdg gbisa dibuka, kdg gabisa ngitung makanan"
Pengguna Google,4,2024-12-11 10:42:45,"Sedih bgt ini, dr kmrn ga bs di pakai.... Udh di uninstall, download LG sama aj... LG update atau bagaimana ya?"
Pengguna Google,5,2024-12-11 06:09:14,bagus banget aplikasi nya membantu Bange 😚😚
