,userName,score,at,content,text_clean,text_caseFolding,text_slangWords,text_tokenizing,text_stopwords,text_akhir,polarity_score,sentiment
12,Pengguna Google,5,2025-09-04 10:25:43,cocok utk yg sdg diet,cocok utk yg sdg diet,cocok utk yg sdg diet,cocok untuk yang sdg diet,"['cocok', 'untuk', 'yang', 'sdg', 'diet']","['cocok', 'sdg', 'diet']",cocok sdg diet,-2,Negative
13,Pengguna Google,5,2025-09-03 23:58:31,mudah digunakan,mudah digunakan,mudah digunakan,mudah digunakan,"['mudah', 'digunakan']",['mudah'],mudah,3,Positive
14,Pengguna Google,5,2025-09-03 13:30:37,aplikasi ini sangat bermanfaat & membantu sekali untuk program diet,aplikasi ini sangat bermanfaat  membantu sekali untuk program diet,aplikasi ini sangat bermanfaat  membantu sekali untuk program diet,aplikasi ini sangat bermanfaat membantu sekali untuk program diet,"['aplikasi', 'ini', 'sangat', 'bermanfaat', 'membantu', 'sekali', 'untuk', 'program', 'diet']","['aplikasi', 'bermanfaat', 'membantu', 'program', 'diet']",aplikasi bermanfaat membantu program diet,-2,Negative
15,Pengguna Google,5,2025-09-03 11:00:41,sangat membantu program diet saya,sangat membantu program diet saya,sangat membantu program diet saya,sangat membantu program diet saya,"['sangat', 'membantu', 'program', 'diet', 'saya']","['membantu', 'program', 'diet']",membantu program diet,-3,Negative
16,Pengguna Google,5,2025-09-02 05:30:47,Membantu memantau kalori yg masuk ke badan sangat membantu,Membantu memantau kalori yg masuk ke badan sangat membantu,membantu memantau kalori yg masuk ke badan sangat membantu,membantu memantau kalori yang masuk ke badan sangat membantu,"['membantu', 'memantau', 'kalori', 'yang', 'masuk', 'ke', 'badan', 'sangat', 'membantu']","['membantu', 'memantau', 'kalori', 'masuk', 'badan', 'membantu']",membantu memantau kalori masuk badan membantu,-6,Negative
17,Pengguna Google,5,2025-09-01 19:17:56,terima kasih fat secret sudah menemani dietku,terima kasih fat secret sudah menemani dietku,terima kasih fat secret sudah menemani dietku,terima kasih fat secret sudah menemani dietku,"['terima', 'kasih', 'fat', 'secret', 'sudah', 'menemani', 'dietku']","['terima', 'kasih', 'fat', 'secret', 'menemani', 'dietku']",terima kasih fat secret menemani dietku,3,Positive
18,Pengguna Google,5,2025-08-28 20:56:42,aplikasi bagus,aplikasi bagus,aplikasi bagus,aplikasi bagus,"['aplikasi', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus,-6,Negative
19,Pengguna Google,5,2025-08-24 09:34:34,sangat membantu saya dalam menjalankan diet sebat,sangat membantu saya dalam menjalankan diet sebat,sangat membantu saya dalam menjalankan diet sebat,sangat membantu saya dalam menjalankan diet sebat,"['sangat', 'membantu', 'saya', 'dalam', 'menjalankan', 'diet', 'sebat']","['membantu', 'menjalankan', 'diet', 'sebat']",membantu menjalankan diet sebat,-5,Negative
20,Pengguna Google,1,2025-08-22 09:09:13,"Memberikan perhitungan yang salah, cari caloric deficit malah diberi caloric surplus, tolong perhitungan aplikasi bisa diperbaiki",Memberikan perhitungan yang salah cari caloric deficit malah diberi caloric surplus tolong perhitungan aplikasi bisa diperbaiki,memberikan perhitungan yang salah cari caloric deficit malah diberi caloric surplus tolong perhitungan aplikasi bisa diperbaiki,memberikan perhitungan yang salah cari caloric deficit malah diberi caloric surplus tolong perhitungan aplikasi bisa diperbaiki,"['memberikan', 'perhitungan', 'yang', 'salah', 'cari', 'caloric', 'deficit', 'malah', 'diberi', 'caloric', 'surplus', 'tolong', 'perhitungan', 'aplikasi', 'bisa', 'diperbaiki']","['perhitungan', 'salah', 'cari', 'caloric', 'deficit', 'caloric', 'surplus', 'tolong', 'perhitungan', 'aplikasi', 'diperbaiki']",perhitungan salah cari caloric deficit caloric surplus tolong perhitungan aplikasi diperbaiki,-10,Negative
21,Pengguna Google,5,2025-08-20 09:23:58,Good,Good,good,good,['good'],['good'],good,5,Positive
22,Pengguna Google,5,2025-08-20 05:17:09,sangat membantu untuk tracking makanan,sangat membantu untuk tracking makanan,sangat membantu untuk tracking makanan,sangat membantu untuk tracking makanan,"['sangat', 'membantu', 'untuk', 'tracking', 'makanan']","['membantu', 'tracking', 'makanan']",membantu tracking makanan,3,Positive
23,Pengguna Google,5,2025-08-19 16:09:42,"dapat memantau berat badan dari berat awal sampai berat yang dituju dengan memasukan asupan makanan setiap hari , tiap Minggu dapat laporan rentetan kalori dan mengupdate berat badan",dapat memantau berat badan dari berat awal sampai berat yang dituju dengan memasukan asupan makanan setiap hari  tiap Minggu dapat laporan rentetan kalori dan mengupdate berat badan,dapat memantau berat badan dari berat awal sampai berat yang dituju dengan memasukan asupan makanan setiap hari  tiap minggu dapat laporan rentetan kalori dan mengupdate berat badan,dapat memantau berat badan dari berat awal sampai berat yang dituju dengan memasukan asupan makanan setiap hari tiap minggu dapat laporan rentetan kalori dan mengupdate berat badan,"['dapat', 'memantau', 'berat', 'badan', 'dari', 'berat', 'awal', 'sampai', 'berat', 'yang', 'dituju', 'dengan', 'memasukan', 'asupan', 'makanan', 'setiap', 'hari', 'tiap', 'minggu', 'dapat', 'laporan', 'rentetan', 'kalori', 'dan', 'mengupdate', 'berat', 'badan']","['memantau', 'berat', 'badan', 'berat', 'berat', 'dituju', 'memasukan', 'asupan', 'makanan', 'minggu', 'laporan', 'rentetan', 'kalori', 'mengupdate', 'berat', 'badan']",memantau berat badan berat berat dituju memasukan asupan makanan minggu laporan rentetan kalori mengupdate berat badan,-8,Negative
24,Pengguna Google,5,2025-08-18 08:44:06,bagus membantu mengontrol berat badan dan makan,bagus membantu mengontrol berat badan dan makan,bagus membantu mengontrol berat badan dan makan,bagus membantu mengontrol berat badan dan makan,"['bagus', 'membantu', 'mengontrol', 'berat', 'badan', 'dan', 'makan']","['bagus', 'membantu', 'mengontrol', 'berat', 'badan', 'makan']",bagus membantu mengontrol berat badan makan,-5,Negative
25,Pengguna Google,5,2025-08-16 13:24:59,bgus,bgus,bgus,bgus,['bgus'],['bgus'],bgus,0,Neutral
26,Pengguna Google,5,2025-08-16 12:36:48,"bagus, tp sebaiknya di update lagi data makanannya, kadang byk yang ga ada.",bagus tp sebaiknya di update lagi data makanannya kadang byk yang ga ada,bagus tp sebaiknya di update lagi data makanannya kadang byk yang ga ada,bagus tp sebaiknya di update lagi data makanannya kadang byk yang tidak ada,"['bagus', 'tp', 'sebaiknya', 'di', 'update', 'lagi', 'data', 'makanannya', 'kadang', 'byk', 'yang', 'tidak', 'ada']","['bagus', 'tp', 'update', 'data', 'makanannya', 'kadang', 'byk']",bagus tp update data makanannya kadang byk,-2,Negative
27,Pengguna Google,5,2025-08-11 13:05:33,bagus bgt diet,bagus bgt diet,bagus bgt diet,bagus banget diet,"['bagus', 'banget', 'diet']","['bagus', 'banget', 'diet']",bagus banget diet,-4,Negative
28,Pengguna Google,5,2025-08-11 08:17:45,Alhamdulillah Barokallah dengan aplikasi ini saya bisa mengontrol kalori makanan yang saya akan makan.semoga saya bisa menurunkan BB saya Sesuai Idealnya.semamgat menuju 53kg🥰🥰🥰🥰 terimakasih fatscret😍😍,Alhamdulillah Barokallah dengan aplikasi ini saya bisa mengontrol kalori makanan yang saya akan makansemoga saya bisa menurunkan BB saya Sesuai Idealnyasemamgat menuju kg terimakasih fatscret,alhamdulillah barokallah dengan aplikasi ini saya bisa mengontrol kalori makanan yang saya akan makansemoga saya bisa menurunkan bb saya sesuai idealnyasemamgat menuju kg terimakasih fatscret,alhamdulillah barokallah dengan aplikasi ini saya bisa mengontrol kalori makanan yang saya akan makansemoga saya bisa menurunkan bb saya sesuai idealnyasemamgat menuju kg terimakasih fatscret,"['alhamdulillah', 'barokallah', 'dengan', 'aplikasi', 'ini', 'saya', 'bisa', 'mengontrol', 'kalori', 'makanan', 'yang', 'saya', 'akan', 'makansemoga', 'saya', 'bisa', 'menurunkan', 'bb', 'saya', 'sesuai', 'idealnyasemamgat', 'menuju', 'kg', 'terimakasih', 'fatscret']","['alhamdulillah', 'barokallah', 'aplikasi', 'mengontrol', 'kalori', 'makanan', 'makansemoga', 'menurunkan', 'bb', 'sesuai', 'idealnyasemamgat', 'kg', 'terimakasih', 'fatscret']",alhamdulillah barokallah aplikasi mengontrol kalori makanan makansemoga menurunkan bb sesuai idealnyasemamgat kg terimakasih fatscret,7,Positive
29,Pengguna Google,2,2025-08-07 13:01:59,"bagus, ada komunitasnya tapi ga bisa catat makanan diluar dari apa yang ada di aplikasi, contoh kayak donat milo. itu ga ada sama sekali di aplikasi, ga bisa tambah menu itu juga. capek",bagus ada komunitasnya tapi ga bisa catat makanan diluar dari apa yang ada di aplikasi contoh kayak donat milo itu ga ada sama sekali di aplikasi ga bisa tambah menu itu juga capek,bagus ada komunitasnya tapi ga bisa catat makanan diluar dari apa yang ada di aplikasi contoh kayak donat milo itu ga ada sama sekali di aplikasi ga bisa tambah menu itu juga capek,bagus ada komunitasnya tapi tidak bisa catat makanan diluar dari apa yang ada di aplikasi contoh kayak donat milo itu tidak ada sama sekali di aplikasi tidak bisa tambah menu itu juga capek,"['bagus', 'ada', 'komunitasnya', 'tapi', 'tidak', 'bisa', 'catat', 'makanan', 'diluar', 'dari', 'apa', 'yang', 'ada', 'di', 'aplikasi', 'contoh', 'kayak', 'donat', 'milo', 'itu', 'tidak', 'ada', 'sama', 'sekali', 'di', 'aplikasi', 'tidak', 'bisa', 'tambah', 'menu', 'itu', 'juga', 'capek']","['bagus', 'komunitasnya', 'catat', 'makanan', 'diluar', 'aplikasi', 'contoh', 'kayak', 'donat', 'milo', 'aplikasi', 'menu', 'capek']",bagus komunitasnya catat makanan diluar aplikasi contoh kayak donat milo aplikasi menu capek,-10,Negative
30,Pengguna Google,5,2025-08-07 10:18:44,Mantap mmbantu banget ngitung kalori harian,Mantap mmbantu banget ngitung kalori harian,mantap mmbantu banget ngitung kalori harian,mantap mmbantu banget ngitung kalori harian,"['mantap', 'mmbantu', 'banget', 'ngitung', 'kalori', 'harian']","['mantap', 'mmbantu', 'banget', 'ngitung', 'kalori', 'harian']",mantap mmbantu banget ngitung kalori harian,6,Positive
31,Pengguna Google,5,2025-08-06 17:47:12,Membantu mengontrol masukan kalori,Membantu mengontrol masukan kalori,membantu mengontrol masukan kalori,membantu mengontrol masukan kalori,"['membantu', 'mengontrol', 'masukan', 'kalori']","['membantu', 'mengontrol', 'masukan', 'kalori']",membantu mengontrol masukan kalori,0,Neutral
32,Pengguna Google,5,2025-08-05 11:07:54,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,0,Neutral
33,Pengguna Google,5,2025-08-04 15:37:30,Sangat membantu untuk diet,Sangat membantu untuk diet,sangat membantu untuk diet,sangat membantu untuk diet,"['sangat', 'membantu', 'untuk', 'diet']","['membantu', 'diet']",membantu diet,-3,Negative
34,Pengguna Google,5,2025-08-03 13:25:21,okee,okee,okee,okee,['okee'],['okee'],okee,0,Neutral
35,Pengguna Google,5,2025-08-02 07:15:18,Sangat membantu mengontrol kebutuhan gizi,Sangat membantu mengontrol kebutuhan gizi,sangat membantu mengontrol kebutuhan gizi,sangat membantu mengontrol kebutuhan gizi,"['sangat', 'membantu', 'mengontrol', 'kebutuhan', 'gizi']","['membantu', 'mengontrol', 'kebutuhan', 'gizi']",membantu mengontrol kebutuhan gizi,4,Positive
36,Pengguna Google,5,2025-08-01 08:18:31,"Bagi yg mau diet, harus banget download aplikasi ini.",Bagi yg mau diet harus banget download aplikasi ini,bagi yg mau diet harus banget download aplikasi ini,bagi yang mau diet harus banget download aplikasi ini,"['bagi', 'yang', 'mau', 'diet', 'harus', 'banget', 'download', 'aplikasi', 'ini']","['diet', 'banget', 'download', 'aplikasi']",diet banget download aplikasi,-6,Negative
37,Pengguna Google,5,2025-07-31 16:53:53,love fatsecret. sangat membantu programku. thankyou fatsecret.,love fatsecret sangat membantu programku thankyou fatsecret,love fatsecret sangat membantu programku thankyou fatsecret,love fatsecret sangat membantu programku thankyou fatsecret,"['love', 'fatsecret', 'sangat', 'membantu', 'programku', 'thankyou', 'fatsecret']","['love', 'fatsecret', 'membantu', 'programku', 'thankyou', 'fatsecret']",love fatsecret membantu programku thankyou fatsecret,2,Positive
38,Pengguna Google,5,2025-07-31 08:34:49,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,-2,Negative
39,Pengguna Google,5,2025-07-30 15:12:20,aplikasi terbaik,aplikasi terbaik,aplikasi terbaik,aplikasi terbaik,"['aplikasi', 'terbaik']","['aplikasi', 'terbaik']",aplikasi terbaik,1,Positive
40,Pengguna Google,5,2025-07-25 12:57:30,"aplikasinya keren, mantap, mempermudah orang buat hitung kalori harian terkhusus buat yg lagi cutting",aplikasinya keren mantap mempermudah orang buat hitung kalori harian terkhusus buat yg lagi cutting,aplikasinya keren mantap mempermudah orang buat hitung kalori harian terkhusus buat yg lagi cutting,aplikasinya keren mantap mempermudah orang buat hitung kalori harian terkhusus buat yang lagi cutting,"['aplikasinya', 'keren', 'mantap', 'mempermudah', 'orang', 'buat', 'hitung', 'kalori', 'harian', 'terkhusus', 'buat', 'yang', 'lagi', 'cutting']","['aplikasinya', 'keren', 'mantap', 'mempermudah', 'orang', 'hitung', 'kalori', 'harian', 'terkhusus', 'cutting']",aplikasinya keren mantap mempermudah orang hitung kalori harian terkhusus cutting,3,Positive
41,Pengguna Google,5,2025-07-25 07:51:00,mmbntu skali untk mnghitng kalori harian,mmbntu skali untk mnghitng kalori harian,mmbntu skali untk mnghitng kalori harian,mmbntu skali untk mnghitng kalori harian,"['mmbntu', 'skali', 'untk', 'mnghitng', 'kalori', 'harian']","['mmbntu', 'skali', 'untk', 'mnghitng', 'kalori', 'harian']",mmbntu skali untk mnghitng kalori harian,0,Neutral
42,Pengguna Google,5,2025-07-24 20:32:01,membantu jaga kalori,membantu jaga kalori,membantu jaga kalori,membantu jaga kalori,"['membantu', 'jaga', 'kalori']","['membantu', 'jaga', 'kalori']",membantu jaga kalori,-1,Negative
43,Pengguna Google,5,2025-07-21 10:21:07,"aplikasi bagus membantu banget,saran saya menu makanannya di tambah lagi terutama di Makanan olahan ayam 👍👍",aplikasi bagus membantu bangetsaran saya menu makanannya di tambah lagi terutama di Makanan olahan ayam,aplikasi bagus membantu bangetsaran saya menu makanannya di tambah lagi terutama di makanan olahan ayam,aplikasi bagus membantu bangetsaran saya menu makanannya di tambah lagi terutama di makanan olahan ayam,"['aplikasi', 'bagus', 'membantu', 'bangetsaran', 'saya', 'menu', 'makanannya', 'di', 'tambah', 'lagi', 'terutama', 'di', 'makanan', 'olahan', 'ayam']","['aplikasi', 'bagus', 'membantu', 'bangetsaran', 'menu', 'makanannya', 'makanan', 'olahan', 'ayam']",aplikasi bagus membantu bangetsaran menu makanannya makanan olahan ayam,-3,Negative
44,Pengguna Google,5,2025-07-21 09:11:10,aplikasi yg bagus...,aplikasi yg bagus,aplikasi yg bagus,aplikasi yang bagus,"['aplikasi', 'yang', 'bagus']","['aplikasi', 'bagus']",aplikasi bagus,-6,Negative
45,Pengguna Google,5,2025-07-20 17:49:21,bnr bnr ngebantu gua buat kontrol makan terimakasih banyak ya,bnr bnr ngebantu gua buat kontrol makan terimakasih banyak ya,bnr bnr ngebantu gua buat kontrol makan terimakasih banyak ya,bnr bnr ngebantu gua buat kontrol makan terimakasih banyak ya,"['bnr', 'bnr', 'ngebantu', 'gua', 'buat', 'kontrol', 'makan', 'terimakasih', 'banyak', 'ya']","['bnr', 'bnr', 'ngebantu', 'gua', 'kontrol', 'makan', 'terimakasih']",bnr bnr ngebantu gua kontrol makan terimakasih,2,Positive
46,Pengguna Google,4,2025-07-18 06:55:12,bagus menunjang perjuangan ku,bagus menunjang perjuangan ku,bagus menunjang perjuangan ku,bagus menunjang perjuangan ku,"['bagus', 'menunjang', 'perjuangan', 'ku']","['bagus', 'menunjang', 'perjuangan']",bagus menunjang perjuangan,-5,Negative
47,Pengguna Google,5,2025-07-16 19:26:22,"kalau pakat fatsecret jd lebih disiplin,trims",kalau pakat fatsecret jd lebih disiplintrims,kalau pakat fatsecret jd lebih disiplintrims,kalau pakat fatsecret jd lebih disiplintrims,"['kalau', 'pakat', 'fatsecret', 'jd', 'lebih', 'disiplintrims']","['pakat', 'fatsecret', 'jd', 'disiplintrims']",pakat fatsecret jd disiplintrims,4,Positive
48,Pengguna Google,5,2025-07-12 20:31:37,okey,okey,okey,okey,['okey'],['okey'],okey,0,Neutral
49,Pengguna Google,1,2025-07-12 19:37:02,"kenapa si astaga padahal jaringan bagus tapi buat buka aplikasi, buat input makanan gabisa, lucu banget",kenapa si astaga padahal jaringan bagus tapi buat buka aplikasi buat input makanan gabisa lucu banget,kenapa si astaga padahal jaringan bagus tapi buat buka aplikasi buat input makanan gabisa lucu banget,kenapa si astaga padahal jaringan bagus tapi buat buka aplikasi buat input makanan gabisa lucu banget,"['kenapa', 'si', 'astaga', 'padahal', 'jaringan', 'bagus', 'tapi', 'buat', 'buka', 'aplikasi', 'buat', 'input', 'makanan', 'gabisa', 'lucu', 'banget']","['si', 'astaga', 'jaringan', 'bagus', 'buka', 'aplikasi', 'input', 'makanan', 'gabisa', 'lucu', 'banget']",si astaga jaringan bagus buka aplikasi input makanan gabisa lucu banget,-3,Negative
50,Pengguna Google,5,2025-07-12 10:29:27,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,0,Neutral
51,Pengguna Google,5,2025-07-11 16:08:05,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,Positive
52,Pengguna Google,5,2025-07-09 15:29:43,"terbaik sih, aplikasinya keren, gampang dipahami. udh aku pakai dari awal diet di 2018. sampe skrg msh ku pakai. dari BB awal hampir 80 skrg di 62, tapi msh proses diet lgi hehe . setelah 3tahun berenti karena hamil dan menyusui.",terbaik sih aplikasinya keren gampang dipahami udh aku pakai dari awal diet di  sampe skrg msh ku pakai dari BB awal hampir  skrg di  tapi msh proses diet lgi hehe  setelah tahun berenti karena hamil dan menyusui,terbaik sih aplikasinya keren gampang dipahami udh aku pakai dari awal diet di  sampe skrg msh ku pakai dari bb awal hampir  skrg di  tapi msh proses diet lgi hehe  setelah tahun berenti karena hamil dan menyusui,terbaik sih aplikasinya keren gampang dipahami udh aku pakai dari awal diet di sampai skrg msh ku pakai dari bb awal hampir skrg di tapi msh proses diet lgi hehe setelah tahun berenti karena hamil dan menyusui,"['terbaik', 'sih', 'aplikasinya', 'keren', 'gampang', 'dipahami', 'udh', 'aku', 'pakai', 'dari', 'awal', 'diet', 'di', 'sampai', 'skrg', 'msh', 'ku', 'pakai', 'dari', 'bb', 'awal', 'hampir', 'skrg', 'di', 'tapi', 'msh', 'proses', 'diet', 'lgi', 'hehe', 'setelah', 'tahun', 'berenti', 'karena', 'hamil', 'dan', 'menyusui']","['terbaik', 'aplikasinya', 'keren', 'gampang', 'dipahami', 'udh', 'pakai', 'diet', 'skrg', 'msh', 'pakai', 'bb', 'skrg', 'msh', 'proses', 'diet', 'lgi', 'hehe', 'berenti', 'hamil', 'menyusui']",terbaik aplikasinya keren gampang dipahami udh pakai diet skrg msh pakai bb skrg msh proses diet lgi hehe berenti hamil menyusui,-7,Negative
53,Pengguna Google,5,2025-07-09 06:05:50,dietku jadi berhasil,dietku jadi berhasil,dietku jadi berhasil,dietku jadi berhasil,"['dietku', 'jadi', 'berhasil']","['dietku', 'berhasil']",dietku berhasil,3,Positive
54,Pengguna Google,5,2025-07-08 17:59:42,sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,sangat bermanfaat,"['sangat', 'bermanfaat']",['bermanfaat'],bermanfaat,5,Positive
55,Pengguna Google,4,2025-07-08 17:30:57,ok,ok,ok,ok,['ok'],['ok'],ok,4,Positive
56,Pengguna Google,5,2025-07-08 13:00:20,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],membantu,0,Neutral
57,Pengguna Google,5,2025-07-04 19:25:29,Apk terbaik,Apk terbaik,apk terbaik,apk terbaik,"['apk', 'terbaik']","['apk', 'terbaik']",apk terbaik,5,Positive
58,Pengguna Google,5,2025-07-01 09:53:21,🤍,,,,[],[],,0,Neutral
59,Pengguna Google,5,2025-07-01 08:30:16,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,-2,Negative
60,Pengguna Google,5,2025-07-01 06:40:19,"Sangat amat memudahkan untuk menghitung kalori, bener bener mempermudah untuk orang yang mau diet",Sangat amat memudahkan untuk menghitung kalori bener bener mempermudah untuk orang yang mau diet,sangat amat memudahkan untuk menghitung kalori bener bener mempermudah untuk orang yang mau diet,sangat amat memudahkan untuk menghitung kalori bener bener mempermudah untuk orang yang mau diet,"['sangat', 'amat', 'memudahkan', 'untuk', 'menghitung', 'kalori', 'bener', 'bener', 'mempermudah', 'untuk', 'orang', 'yang', 'mau', 'diet']","['memudahkan', 'menghitung', 'kalori', 'bener', 'bener', 'mempermudah', 'orang', 'diet']",memudahkan menghitung kalori bener bener mempermudah orang diet,0,Neutral
61,Pengguna Google,5,2025-07-01 03:38:19,app yg sangat bagus dan membantu banyak orang untuk menghitung kalori harian.,app yg sangat bagus dan membantu banyak orang untuk menghitung kalori harian,app yg sangat bagus dan membantu banyak orang untuk menghitung kalori harian,app yang sangat bagus dan membantu banyak orang untuk menghitung kalori harian,"['app', 'yang', 'sangat', 'bagus', 'dan', 'membantu', 'banyak', 'orang', 'untuk', 'menghitung', 'kalori', 'harian']","['app', 'bagus', 'membantu', 'orang', 'menghitung', 'kalori', 'harian']",app bagus membantu orang menghitung kalori harian,-2,Negative
